,Tweeted Date,Tweet Description,Popularity Count
116,2021-05-20,"RT @firstclassjp: 🎁Twitter限定プレゼント企画🎁
【6月2日　締切】
① @firstclassjpをフォロー＆RT💕
② 抽選で1名様に #ブリタ の #カラフェ型浄水器 をプレゼント

最近、🌈#Takeapicture / #NiziU 🌈のダンス…",0
137,2021-05-20,"@Mini_need_U いっぱいありがとうを言ってくれるみにちゃんが愛おし🥺💗笑
これからもよろしくね😊🌈💕💕",0
129,2021-05-20,え？20日よね？今日,0
6,2021-05-21,"RT @minnano_zoo_ntv: 相葉くんが最近の収録について思っていたことをぶっこむ⁉️⁉️㊙️🙊
また、先日、桝アナがチャレンジした「動物の鳴き声で作るNiziU『Make you happy』」を相葉くんが聞くことに❗️果たしてその反応は⁉️🙉
https://t…",0
134,2021-05-20,"RT @Taisho_TV: LINEさんへ(@LINEStickerJP )

#NiziU のスタンプありがとうございます！！！
最高に嬉しくて使いまくってるしプレゼントしまくってます！

そして、わがままな #WithU のお願いなのですが…

次は""声付きの動くLINE…",0
8,2021-05-21,"サイン入りチェキ欲しいよぉ😭
当選者にDMいつ頃届くか分かる方いますか？🥺
かなりの確率なのに、毎日ソワソワしてしまう😫
 #NiziU
 #Take_a_picture 
 #Poppin_Shakin… https://t.co/sZhn59bXhC",0
135,2021-05-20,RT @okamotospo: 【新日本】ＩＷＧＰ世界ヘビー級王者オスプレイが全治未定の首の負傷で王座返上　すでに帰国で新王者決定戦開催へ https://t.co/42AmptH547,0
123,2021-05-20,"RT @oricon: NiziU、公式LINEスタンプ全40種登場　ミイヒ「たくさん使ってほしいな」（写真 全2枚）
https://t.co/xcczVdodM8

 #NiziU #ニジュー #LINEスタンプ @NiziU__official",0
9,2021-05-21,"ファンタを飲んでキャンペーンに参加すると、ファンタとNiziUとのコラボアイテムがその場で当たるよ！あなたもキャンペーンに参加しよう！
詳しくはこちら：https://t.co/kiXJT2QG15",0
117,2021-05-20,"RT @natalie_mu: NiziU「Poppin' Shakin'」衣装の撮り下ろしLINEスタンプが登場（動画あり）
https://t.co/VVWjwDVTK8

#NiziU #ニジュー #니쥬 #WithU",0
