,Tweeted Date,Tweet Description
103,2020-09-22,@jamie_i_loveyou 내가 더 사랑하는데 프사 무슨일이야! 아가!
104,2020-09-22,@babyJ_amie You can’t say that cause it can never be more than mine
105,2020-09-22,라뷰라뷰🤍
106,2020-09-21,"RT @40GlobalShow: ✌KPOP✌

Usa el HT #40GlobalShow261 para pedir a tus artistas de la semana que viene. 

@TonyAguilarOfi hoy nos presenta a…"
107,2020-09-17,"@leehi_hi How to get away with murder , umbrella academy, revenge"
108,2020-09-17,@Jae_Day6 Where’s mine Jae
109,2020-09-16,@jamiestaffsays 2020년 기준 브루클린 버거 입니다
110,2020-09-16,https://t.co/2Bjg1R8Sns BEHIND💗
111,2020-09-11,Heyy wyd
112,2020-09-09,https://t.co/NpEb5TUVTV 💗HELLOOKNOCKK✊🏻
113,2020-09-08,담에 또 불러주세요 아돌라! @idolradiokorea
114,2020-09-08,😝😝😝 https://t.co/v9L2gTeIoV
115,2020-09-04,https://t.co/wTSRzOnE1a DINGO💚 https://t.co/r0yADS1lUO
116,2020-09-04,Later ! With Dingo🤭 https://t.co/FfRvwflLMn
117,2020-09-04,https://t.co/A2KcFKpQFg 라비오빠랑🙏🏻🖤
118,2020-09-03,Nice🙏🏻 https://t.co/7bbAecA1CE
119,2020-09-03,https://t.co/1KDH6WYvxo 💜💜💜MV💜💜💜
120,2020-09-03,Out now! #numbers https://t.co/qVESd17FOw
121,2020-09-03,오늘 ❤️NUMBERS❤️ @sbscultwoshow  에서 발매전에 불러요! 이따가 봐요🥰 https://t.co/7lewTMoDzq 여기서 스케줄 올릴 예정💚
122,2020-09-03,https://t.co/7lewTMoDzq 🍒 Schedules will be uploaded here🍒
123,2020-09-03,Oh and do you guys know I’m going to sing ❤️NUMBERS❤️ before it releases today on “컬투쇼” @sbscultwoshow 🥰
124,2020-09-03,https://t.co/h6eHzlPlpu it hits me different every time I get to sing this song to you. You are beautiful today don’t forget to smile :)
125,2020-09-02,"RT @allkpop: Jamie (Park Ji Min) drops a party MV teaser for her upcoming single 'Numbers (feat. Changmo)'
https://t.co/YHTfI2lu4G https://…"
126,2020-09-02,RT @soompi: WATCH: #Jamie Gets The Party Started In MV Teaser For “Numbers” Featuring Changmo https://t.co/ncatCevfje https://t.co/pxKbFwYW…
127,2020-09-01,🤪🥺 https://t.co/S1eHY1L2U1
128,2020-09-01,Excuuuuuse me ? Numbers is commin out wen? https://t.co/NvJAcvtOXs
129,2020-08-31,@jamiestaffsays 똑같죠? 빼오앵오 빼오빼오앵오~
130,2020-08-31,https://t.co/f13jJz94VF NUMBERS teasing u with 16seconds
131,2020-08-31,https://t.co/o9MftQjxdm 🍒JAMIEYOUTUBE❤️
132,2020-08-30,"RT @jamiestaffsays: Jamie – Numbers feat. Changmo
2020.09.03
18:00 KST
#JAMIE #JAMIEPARK #제이미 #NUMBERS #넘버스 https://t.co/Fp95AysNsi"
