,Tweeted Date,Tweet Description,Popularity Count
10,2021-05-14 14:45:30,막...정이도 없고.. 시리즈 피스윕 직전에 정지훈이 막아줌... 그래서 정이 항이 같이잇는거 찍은 천사 트칭구님 없나요😔...🥲🌸 https://t.co/bM1p0qprBi,1
112,2021-05-12 10:35:18,"@rain_oppa x Chowol ginseng. His smile is so sweet😍😍 

#정지훈 #비 #가수비 #시즌비시즌 #rain #jungjihoon ##Pieces by Rain… https://t.co/1LbdKv490n",1
18,2021-05-14 09:40:23,"【美韓】チョン・ジフン（ピ）に投票完了！現在の得票数:517票
チョン・ジフン（ピ）「夢の中でも会おうね❤」
人気投票はこちらから↓
 https://t.co/VN8ybYjXer #チョン・ジフン（ピ） #JungJiHoon #정지훈 #チョン・ジフン（ピ）からのメッセージ",1
63,2021-05-13 11:26:45,@YUNY50403129 자꾸 여기서 비는 정지훈이 아닙니다 하심,1
139,2021-05-11 07:14:36,여름에 반팔은 입지만... 땡볕 아래에 있지 않음... 어떻게든 태양을 피하려고 안달이지만 비(정지훈)는 아님..,1
89,2021-05-12 23:54:09,"RT @cloudjjhph_: 📣 Rain's birthday is coming up in June! We're planning on doing an event for him as always. ❤️

Please message us for more…",0
90,2021-05-12 23:21:49,"정지훈 : 전 사라졌지만 방금 말했듯 기절잠 하겠습니다 안녕(머리부터 박는다)
정인하 : (진짜 기절한거 아닐까...)",0
91,2021-05-12 21:26:39,RT @rainbilove2: 5/13 RAIN(ピ)LOVE2 Blog記事「Season B Season EP.33その4」 @29rain #정지훈 #비 #jungjihoon #rain  #ピ　https://t.co/eKMcsfMlV5,0
92,2021-05-12 21:07:39,RT @rainbilove2: 5/13 RAIN(ピ)LOVE2 Blog記事「Season B Season EP.33その4」 @29rain #정지훈 #비 #jungjihoon #rain  #ピ　https://t.co/eKMcsfMlV5,0
101,2021-05-12 14:02:51,선발 투수들 싹다 좃됐는데 비라도 와야함. 우리 선발투수 정지훈만 믿겠음.,0
