,Tweeted Date,Tweet Description,Popularity Count
113,2021-05-19,RT @keqduo: สนับสนุนกว่านี้ก็คงต้องซื้อ JYP มาแล้วล่ะครับ แท็กก็ช่วยปั่นนะครับ แต่คือทุกคนก็มีธุระกันทุกคนนะครับ ไม่ได้ว่างตลอด เขาก็สนับส…,0
112,2021-05-19,"RT @hwngsworld: The amount of people commenting #staywithhyunjin on the jyp statement is concerning but also cute (?)
Is it a good idea to…",0
111,2021-05-19,"RT @PJY_collection: ON THIS DAY

130519
&gt; JYP Nation - Celebrating Coming-Of-Age Day

#Jinyoung #진영 #박진영 #GOT7 #갓세븐 
@GOT7Official https://…",0
140,2021-05-19,RT @Kkapok_s: ร้องเพราะนะแต่จะร้องเทคนิคJYP เพื่ออะไรพี่ไม่เข้าใจเลิกแกล้งได้แล้ว https://t.co/ZTymvT1wGX,0
82,2021-05-19,RT @panumai: ซื้อไว้ใส่การ์ด x1                ปัจจุบัน... https://t.co/Y9lqHNs4Uk,0
75,2021-05-19,RT @JYPE_TRAINEES: ▪️U.S Project might be about JYP’s new girl group. Attention will be centered to Lily M in the coming months and years.…,0
80,2021-05-19,"RT @followjyp: [티저] JYP &amp; PSY (a.k.a JYPSY)가 반한 소년들의 등장! ＜JYPSY의 BOY＞ 대공개

출처 : LOUD
https://t.co/uYGMx5Zej6

#JYPark #박진영 
#LOUD #라우드",0
27,2021-05-19,"RT @hwngsworld: The amount of people commenting #staywithhyunjin on the jyp statement is concerning but also cute (?)
Is it a good idea to…",0
20,2021-05-19,"RT @JYPTHAILAND: [📞🧡] #SHOPEEXITZY_GUESSWHO
อิทจีฝากข้อความมาถึงไทยมิดจีด้วยค่ะ💌
มาลุ้นสิทธิ์วิดีโอคอลกับ ITZY กันนะคะ🧡

รายละเอียด 👉 https…",0
22,2021-05-19,the fact that jyp looks like harry sometimes makes me want to cry myself to sleep,0
23,2021-05-19,"RT @JYPE_TRAINEES: 051721 | According to Hana Financial Investment Analyst, Lee Ki-hoon, these are the tentative years when JYP rookie grou…",0
24,2021-05-19,"RT @formyleeknow: JYP 고양이발바닥 갖고있는거 다압니다
제발 오늘스케쥴 이거 챙겨서 보내주십시오 https://t.co/PG1Y8ZAXgC",0
25,2021-05-19,"RT @JYPTHAILAND: [📞🧡] #SHOPEEXITZY_GUESSWHO
อิทจีฝากข้อความมาถึงไทยมิดจีด้วยค่ะ💌
มาลุ้นสิทธิ์วิดีโอคอลกับ ITZY กันนะคะ🧡

รายละเอียด 👉 https…",0
26,2021-05-19,"RT @JYPE_TRAINEES: 051721 | According to Hana Financial Investment Analyst, Lee Ki-hoon, these are the tentative years when JYP rookie grou…",0
28,2021-05-19,"RT @sc__ys: 스테이씨는 JYP 노래스타일이랑 잘 어울림 
ㄴ당연함 JYP 여돌 노래 좋은거 다 블아필이 만듬 https://t.co/9xKN6DruP0",0
37,2021-05-19,"RT @hobiprincex_: Me da risa que los multis estén decepcionados porque con el teaser no sacaron más canción, ¿que pasa puppys? Ya se acostu…",0
29,2021-05-19,"RT @JYPE_TRAINEES: 051721 | According to Hana Financial Investment Analyst, Lee Ki-hoon, these are the tentative years when JYP rookie grou…",0
30,2021-05-19,wala b kayo balak mag palit layout masyado nyo minahal si jyp @teuranghae @pjhiur,0
31,2021-05-19,RT @Kkapok_s: ร้องเพราะนะแต่จะร้องเทคนิคJYP เพื่ออะไรพี่ไม่เข้าใจเลิกแกล้งได้แล้ว https://t.co/ZTymvT1wGX,0
32,2021-05-19,RT @_geums8: Your IUxGot7 crumbs keeps increasing day by day  after they left JYP. Smh happened there ~😅😆,0
34,2021-05-19,"RT @sc__ys: 스테이씨는 JYP 노래스타일이랑 잘 어울림 
ㄴ당연함 JYP 여돌 노래 좋은거 다 블아필이 만듬 https://t.co/9xKN6DruP0",0
35,2021-05-19,RT @5SANGJIN: 비유도 없고 은유도 없고 유치원생도 바로 알아들을 수 있는 이 한없이 JYP스러운 직관성이 웃기지 않나요 오로지 남자라는 자존심 하나로 살아가는 남성들의 미감을 너무 오래 잊고 살았다,0
19,2021-05-19,RT @yunasuperior: yuna absolutely eating up a cutesy concept... jyp take notes https://t.co/4iyzI6K5l4,0
18,2021-05-19,@richard__kmi 心配…みんな優しいから夜遅くに会社からVえぷ配信とかしてくれるけど、活動パターンがサセンにばれちゃうからほんと気をつけてほしい😭アンチはもう全員JYPがぶっ潰しちゃって欲しい😌👊,0
17,2021-05-19,RT @JYPE_TRAINEES: ▪️U.S Project might be about JYP’s new girl group. Attention will be centered to Lily M in the coming months and years.…,0
16,2021-05-19,"RT @JYPE_TRAINEES: 051921

According to E-Best Securities Report “JYP’s Global boy groups debut is expected from 2022 to 2023.”

● NiziU Bo…",0
15,2021-05-19,"RT @JYPE_TRAINEES: 051921

According to E-Best Securities Report “JYP’s Global boy groups debut is expected from 2022 to 2023.”

● NiziU Bo…",0
14,2021-05-21,teaser de twice saia amanha eu sou insider da jyp,0
13,2021-05-21,"RT @chrisstark_: no cause chan's room on this sunday would be chaotic, like it would prolly be him talking about the performances, how he g…",0
12,2021-05-21,"RT @leelinolix: ""JYP IDIOTA""

KKWKKWKKKKKKKKKKKOKKKKKKOKKK EM REDE NACIONAL EUBTO PASSANDO MYIT9 NALKKKKKJKJKKKJJ https://t.co/ynfyCqjNjK",0
11,2021-05-21,RT @wolfchanblog: Dad’s face doesn’t look like JYP is part of 바보 friends... so JYP not 바보 friend,0
10,2021-05-21,RT @yoshikyuwoo: JYP HAS TRAINEES NAMED HARUTO YEDAM AND KIM DOYOUNG??? IS THIS FOR REAL HELP 😭😭😭😭,0
9,2021-05-21,RT @hwangsamericano: jyp about to wake up in the middle of the night in cold sweat after skz called him stupid,0
8,2021-05-21,"RT @2PMnow: IG story, reposting @.jyp_thailand_official
#NICHKHUN #닉쿤 #ニックン
#นิชคุณ #尼坤 https://t.co/iiYFEDXkO2",0
7,2021-05-21,"RT @SBSNOW: [참가자 프로필] 김민서(20세)

SBS &lt;LOUD: 라우드&gt;
☞ 6월 5일 토요일 밤 9시 첫 방송🎙

#LOUD #라우드 #JYP #PSY #박진영 #싸이
#라우드_참가자_프로필 #김민서 https://t.co/grDFb8…",0
6,2021-05-21,"RT @chrisstark_: no cause chan's room on this sunday would be chaotic, like it would prolly be him talking about the performances, how he g…",0
5,2021-05-21,i think it says jyp pabo and then saranghaeyo with “haha” on the side but this is just based on my guessing using m… https://t.co/8rHzHs6IFe,0
4,2021-05-21,RT @hwangsamericano: they called jyp stupid on a fucking live national television i cant breathe 😭 https://t.co/Za6SQHVfxr,0
